X,Y
15.44021789,-5.852276084
14.25644507,-4.605640031
20.66427828,-7.242094304
17.86490792,-5.551524404
9.858580464,-2.320108491
0.844687504,5.806599191
1.326403672,5.205870054
5.642891212,2.339529585
15.08773915,-5.551763282
5.858025858,1.111811637
10.3335409,-2.851900483
23.13383872,-10.37503601
2.144990724,4.631673997
3.017327721,3.253147328
5.615764838,-0.499822515
14.07208878,-5.652459923
11.158727,-1.602400972
10.19705529,-1.606941574
12.03257446,-2.914777406
0.106770454,6.395004993
0.357547956,6.160607534
8.122626096,-1.588681529
6.74862117,2.507145617
21.59184684,-9.237033754
4.287020452,3.308642528
16.76805771,-6.200122285
7.878506336,-1.082037289
13.00191675,-5.488556992
11.15984417,-3.13243127
8.225568126,0.121895526
3.512991187,4.943326492
7.32972082,2.531231595
8.197758072,0.234341312
2.844527124,4.60680884
13.38737494,-3.815850688
17.7287242,-7.471943369
5.29032885,3.110073245
27.63271523,-13.4633639
13.96844507,-4.997582113
0.468990263,6.604060258
22.5738589,-8.598731973
15.39643041,-4.570607061
5.277901004,-0.870849164
11.93472745,-1.876359013
15.84394127,-9.019318183
27.78255948,-15.20205816
15.86760591,-7.494041993
6.943365508,1.709761038
1.80266616,4.131590367
18.2036209,-3.916499427
10.49988404,-0.742632242
26.95541534,-13.27507192
3.596003653,2.885713321
21.02107871,-10.88445722
20.11418432,-10.70472152
15.52355036,-5.503676117
17.63673705,-6.384515728
17.56399384,-10.06689096
1.143949475,5.644572509
14.88553664,-3.903479328
2.669647402,2.085678103
1.035460167,3.554941044
25.20508087,-15.626758
0.584160875,5.43651859
16.57382483,-7.590562178
5.850095468,2.851252937
21.19923272,-11.18465513
0.874070501,4.565620059
1.359204813,6.523345919
3.10587769,3.234466224
16.03486111,-6.017502439
11.51094591,-0.118043989
7.839347468,1.565136396
6.52202321,1.684089245
15.85053826,-5.161489917
